 [До]: Эталонная таблица идентификаторов опкодов (кодов операций), начальное состояние

 00007FF69E2BF29Dh, <%121> = 120 | 78h | 120d
 00007FF69E2BF29Dh, <%122> = 121 | 79h | 121d
 00007FF69E2BF29Dh, <%123> = 122 | 7Ah | 122d
 00007FF69E2BF29Dh, <%124> = 123 | 7Bh | 123d
 00007FF69E2BF29Dh, <%125> = 124 | 7Ch | 124d
 00007FF69E2BF29Dh, <%126> = 125 | 7Dh | 125d
 00007FF69E2BF29Dh, <%127> = 126 | 7Eh | 126d
 00007FF69E2BF29Dh, <%128> = 127 | 7Fh | 127d
 00007FF69E2BF29Dh, <%129> = 128 | 80h | 128d
 00007FF69E2BF29Dh, <%130> = 129 | 81h | 129d
 00007FF69E2BF29Dh, <%131> = 130 | 82h | 130d
 00007FF69E2BF29Dh, <%132> = 131 | 83h | 131d
 00007FF69E2BF29Dh, <%133> = 132 | 84h | 132d
 00007FF69E2BF29Dh, <%134> = 133 | 85h | 133d
 00007FF69E2BF29Dh, <%135> = 134 | 86h | 134d
 00007FF69E2BF29Dh, <%136> = 135 | 87h | 135d
 00007FF69E2BF29Dh, <%137> = 136 | 88h | 136d
 00007FF69E2BF29Dh, <%138> = 137 | 89h | 137d
 00007FF69E2BF29Dh, <%139> = 138 | 8Ah | 138d
 00007FF69E2BF29Dh, <%140> = 139 | 8Bh | 139d
 00007FF69E2BF29Dh, <%141> = 140 | 8Ch | 140d
 00007FF69E2BF29Dh, <%142> = 141 | 8Dh | 141d
 00007FF69E2BF29Dh, <%143> = 142 | 8Eh | 142d
 00007FF69E2BF29Dh, <%144> = 143 | 8Fh | 143d
 00007FF69E2BF29Dh, <%145> = 144 | 90h | 144d
 00007FF69E2BF29Dh, <%146> = 145 | 91h | 145d
 00007FF69E2BF29Dh, <%147> = 146 | 92h | 146d
 00007FF69E2BF29Dh, <%148> = 147 | 93h | 147d
 00007FF69E2BF29Dh, <%149> = 148 | 94h | 148d
 00007FF69E2BF29Dh, <%150> = 149 | 95h | 149d
 00007FF69E2BF29Dh, <%151> = 150 | 96h | 150d
 00007FF69E2BF29Dh, <%152> = 151 | 97h | 151d
 00007FF69E2BF29Dh, <%153> = 152 | 98h | 152d
 00007FF69E2BF29Dh, <%154> = 153 | 99h | 153d
 00007FF69E2BF29Dh, <%155> = 154 | 9Ah | 154d
 00007FF69E2BF29Dh, <%156> = 155 | 9Bh | 155d
 00007FF69E2BF29Dh, <%157> = 156 | 9Ch | 156d
 00007FF69E2BF29Dh, <%158> = 157 | 9Dh | 157d
 00007FF69E2BF29Dh, <%159> = 158 | 9Eh | 158d
 00007FF69E2BF29Dh, <%160> = 159 | 9Fh | 159d
 00007FF69E2BF29Dh, <%161> = 160 | A0h | 160d
 00007FF69E2BF29Dh, <%162> = 161 | A1h | 161d
 00007FF69E2BF29Dh, <%163> = 162 | A2h | 162d
 00007FF69E2BF29Dh, <%164> = 163 | A3h | 163d
 00007FF69E2BF29Dh, <%165> = 164 | A4h | 164d
 00007FF69E2BF29Dh, <%166> = 165 | A5h | 165d
 00007FF69E2BF29Dh, <%167> = 166 | A6h | 166d
 00007FF69E2BF29Dh, <%168> = 167 | A7h | 167d
 00007FF69E2BF29Dh, <%169> = 168 | A8h | 168d
